question,date,name,vote,confidence
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Abhijit Banerjee,Uncertain,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Marianne Bertrand,Uncertain,4
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Markus Brunnermeier,Uncertain,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Raj Chetty,Disagree,7
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Judith Chevalier,Did Not Answer,
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",David Cutler,Disagree,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Angus Deaton,Agree,7
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Darrell Duffie,Uncertain,3
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Aaron Edlin,Disagree,4
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Barry Eichengreen,Uncertain,6
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Liran Einav,Disagree,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Ray Fair,Disagree,8
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Amy Finkelstein,Did Not Answer,
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Pinelopi Goldberg,Disagree,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Austan Goolsbee,Uncertain,1
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Michael Greenstone,Did Not Answer,
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Robert Hall,Disagree,8
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Oliver Hart,Uncertain,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Bengt Holmström,Uncertain,4
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Caroline Hoxby,Did Not Answer,
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Hilary Hoynes,Uncertain,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Kenneth Judd,Strongly Disagree,9
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Steven Kaplan,Strongly Disagree,10
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Anil Kashyap,Disagree,1
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Pete Klenow,Strongly Disagree,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Jonathan Levin,Uncertain,4
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Eric Maskin,Uncertain,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",William Nordhaus,Strongly Disagree,8
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Emmanuel Saez,Disagree,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Larry Samuelson,Uncertain,1
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",José Scheinkman,Disagree,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Richard Schmalensee,Disagree,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Carl Shapiro,Did Not Answer,
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Robert Shimer,Strongly Disagree,7
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Richard Thaler,Disagree,3
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Christopher Udry,Uncertain,6
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Daron Acemoglu,Disagree,5
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Alberto Alesina,Did Not Answer,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Joseph Altonji,Did Not Answer,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Alan Auerbach,Disagree,4
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",David Autor,Disagree,6
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Katherine Baicker,Did Not Answer,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Abhijit Banerjee,Disagree,6
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Marianne Bertrand,Disagree,5
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Markus Brunnermeier,Did Not Answer,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Raj Chetty,Did Not Answer,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Judith Chevalier,Strongly Disagree,9
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",David Cutler,Strongly Disagree,4
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Angus Deaton,Disagree,6
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Darrell Duffie,Disagree,2
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Aaron Edlin,Disagree,7
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Barry Eichengreen,Disagree,8
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Liran Einav,Strongly Disagree,5
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Ray Fair,Disagree,5
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Amy Finkelstein,Did Not Answer,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Pinelopi Goldberg,Did Not Answer,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Austan Goolsbee,Strongly Disagree,10
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Michael Greenstone,Strongly Disagree,7
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Robert Hall,Did Not Answer,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Oliver Hart,Disagree,6
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Bengt Holmström,No Opinion,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Caroline Hoxby,Did Not Answer,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Hilary Hoynes,Strongly Disagree,9
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Kenneth Judd,Strongly Disagree,8
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Steven Kaplan,Uncertain,8
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Anil Kashyap,Uncertain,5
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Pete Klenow,Strongly Disagree,6
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Jonathan Levin,Did Not Answer,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Eric Maskin,Disagree,7
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",William Nordhaus,Disagree,3
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Emmanuel Saez,Disagree,6
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Larry Samuelson,Disagree,6
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",José Scheinkman,Strongly Disagree,8
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Richard Schmalensee,Disagree,4
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Carl Shapiro,Did Not Answer,
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Robert Shimer,Strongly Disagree,7
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Richard Thaler,Strongly Disagree,5
"Question A:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan (see link) are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Christopher Udry,Strongly Disagree,9
"Question B:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Daron Acemoglu,Disagree,5
"Question B:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Alberto Alesina,Did Not Answer,
"Question B:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Joseph Altonji,Did Not Answer,
"Question B:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Alan Auerbach,Disagree,4
"Question B:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",David Autor,Agree,7
"Question B:                                If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",Katherine Baicker,Did Not Answer,
